Description;Type
NS.1905.001.NEBNext_dual_i7_139---NEBNext_dual_i5_139.VM3_2h;mir-120
NS.1905.001.NEBNext_dual_i7_135---NEBNext_dual_i5_135.VS2_20min;scrb-20
NS.1905.001.NEBNext_dual_i7_131---NEBNext_dual_i5_131.VS3_2h;scrb-120
NS.1905.001.NEBNext_dual_i7_129---NEBNext_dual_i5_129.VM1_20min;mir-20
NS.1905.001.NEBNext_dual_i7_132---NEBNext_dual_i5_132.VM3_20min;mir-20
NS.1905.001.NEBNext_dual_i7_134---NEBNext_dual_i5_134.VM2_20min;mir-20
NS.1905.001.NEBNext_dual_i7_136---NEBNext_dual_i5_136.VM1_2h;mir-120
NS.1905.001.NEBNext_dual_i7_133---NEBNext_dual_i5_133.VM2_2h;mir-120
NS.1905.001.NEBNext_dual_i7_140---NEBNext_dual_i5_140.VS3_20min;scrb-20
NS.1905.001.NEBNext_dual_i7_137---NEBNext_dual_i5_137.VS2_2h;scrb-120
NS.1905.001.NEBNext_dual_i7_130---NEBNext_dual_i5_130.VS1_20min;scrb-20
NS.1905.001.NEBNext_dual_i7_138---NEBNext_dual_i5_138.VS1_2h;scrb-120
