"Row.names" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "#contig_id" "product_name" "kegg_entry" "kegg_definition" "kegg_module" "kegg_module_desc" "kegg_pathway" "kegg_pathway_desc" "pfam_access" "pfam_product_name" "pfam_desc" "tigrfam_access" "tigrfam_name" "tigrfam_product_name" "tigrfam_desc" "cog_access" "cog_name" "cog_function" "cog_category" "kog_access" "kog_name" "kog_function" "kog_category" "ublastp" "ublastp_desc" "tax_kingdom" "tax_phylum" "tax_class" "tax_order" "tax_family" "tax_genus" "tax_specie"
"33" "gene-VARPA_RS00165" 3011.02792616652 -0.393621710328414 0.086792086551128 -4.53522580191153 5.75418903038035e-06 0.00150709716169614 "NC_014931.1" "copA, ctpA, ATP7" "K17686" "P-type Cu+ transporter" "NULL" "NULL" "ko01524==ko04016" "Platinum drug resistance==MAPK signaling pathway - plant" "PF00122.19" "E1-E2_ATPase" "-" "NULL" "NULL" "NULL" "NULL" "COG2217" "ZntA" "Cation transport ATPase" "Inorganic ion transport and metabolism" "KOG0207" "KOG0207" "Cation transport ATPase" "Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"190" "gene-VARPA_RS00975" 1508.97323504224 0.406258293783621 0.118251773197976 3.43553659109591 0.000591381595101134 0.0352721062266261 "NC_014931.1" "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"194" "gene-VARPA_RS01000" 12389.7101985977 0.387141162526569 0.1056863850094 3.66311292123516 0.000249168628616698 0.0205615317642054 "NC_014931.1" "metH, MTR" "K00548" "5-methyltetrahydrofolate--homocysteine methyltransferase" "M00017" "Methionine biosynthesis, apartate => homoserine => methionine" "ko00270==ko00450==ko00670==ko01100==ko01110==ko01230" "Cysteine and methionine metabolism==Selenocompound metabolism==One carbon pool by folate==Metabolic pathways==Biosynthesis of secondary metabolites==Biosynthesis of amino acids" "PF02310.18" "B12-binding" "-" "NULL" "NULL" "NULL" "NULL" "COG1410" "MetH" "Methionine synthase I, cobalamin-binding domain" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"276" "gene-VARPA_RS01415" 95.8454744884621 0.998217613923877 0.302757218952203 3.2970893885819 0.000976924039659663 0.0490415867909151 "NC_014931.1" "biuH" "K23359" "biuret amidohydrolase" "NULL" "NULL" "ko00791==ko01100==ko01120" "Atrazine degradation==Metabolic pathways==Microbial metabolism in diverse environments" "PF00857.19" "Isochorismatase" "-" "NULL" "NULL" "NULL" "NULL" "COG1335" "PncA" "Amidases related to nicotinamidase" "Secondary metabolites biosynthesis, transport, and catabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"363" "gene-VARPA_RS01850" 1664.67912415405 1.35485382584365 0.356688420076714 3.79842391730087 0.000145619113761065 0.0130926797208456 "NC_014931.1" "nagK" "K16165" "fumarylpyruvate hydrolase" "NULL" "NULL" "ko00350==ko01100==ko01120" "Tyrosine metabolism==Metabolic pathways==Microbial metabolism in diverse environments" "PF01557.17" "FAA_hydrolase" "-" "NULL" "NULL" "NULL" "NULL" "COG0179" "MhpD" "2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)" "Secondary metabolites biosynthesis, transport, and catabolism" "KOG1535" "KOG1535" "Predicted fumarylacetoacetate hydralase" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"365" "gene-VARPA_RS01860" 4479.23269899188 0.90011420936546 0.274116927601903 3.28368706464084 0.00102458622146974 0.049898409604555 "NC_014931.1" "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF03401.13" "TctC" "-" "NULL" "NULL" "NULL" "NULL" "COG3181" "COG3181" "Uncharacterized protein conserved in bacteria" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"488" "gene-VARPA_RS02485" 449.01550059988 -1.24019213753642 0.374633623766666 -3.31041331812984 0.00093158300820766 0.0480955943231528 "NC_014931.1" "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"586" "gene-VARPA_RS02995" 580.179608955477 0.642603323848227 0.107902292124687 5.95541865881461 2.59406897189042e-09 2.23238164095255e-06 "NC_014931.1" "NULL" "NULL" "two component transcriptional regulator, winged helix family" "NULL" "NULL" "NULL" "NULL" "PF00072.23" "Response_reg" "-" "NULL" "NULL" "NULL" "NULL" "COG0745" "OmpR" "Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain" "Signal transduction mechanisms / Transcription" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"590" "gene-VARPA_RS03015" 2108.63066900429 1.22038185665424 0.340325658609656 3.58592373446043 0.000335887119420697 0.0246754147242717 "NC_014931.1" "ghrA" "K12972" "glyoxylate/hydroxypyruvate reductase" "NULL" "NULL" "ko00260==ko00620==ko00630==ko01100==ko01110==ko01120" "Glycine, serine and threonine metabolism==Pyruvate metabolism==Glyoxylate and dicarboxylate metabolism==Metabolic pathways==Biosynthesis of secondary metabolites==Microbial metabolism in diverse environments" "PF02826.18" "2-Hacid_dh_C" "-" "NULL" "NULL" "NULL" "NULL" "COG0111" "SerA" "Phosphoglycerate dehydrogenase and related dehydrogenases" "Amino acid transport and metabolism" "KOG0069" "KOG0069" "Glyoxylate/hydroxypyruvate reductase (D-isomer-specific 2-hydroxy acid dehydrogenase superfamily)" "Energy production and conversion" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"846" "gene-VARPA_RS04335" 4281.14059768727 -1.5228092149534 0.343301792624682 -4.43577414295133 9.17419969746426e-06 0.00204686588805647 "NC_014931.1" "COG2070" "K23948" "NADH:quinone reductase (non-electrogenic)" "NULL" "NULL" "NULL" "NULL" "PF00478.24" "IMPDH" "-" "NULL" "NULL" "NULL" "NULL" "COG2070" "COG2070" "Dioxygenases related to 2-nitropropane dioxygenase" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"850" "gene-VARPA_RS04355" 3379.88072623392 -1.35063343389006 0.352086661295769 -3.83608236937856 0.00012501249520694 0.0116042845232476 "NC_014931.1" "K00666" "K00666" "fatty-acyl-CoA synthase" "NULL" "NULL" "NULL" "NULL" "PF00501.27" "AMP-binding" "-" "NULL" "NULL" "NULL" "NULL" "COG0318" "CaiC" "Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II" "Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism" "KOG1176" "KOG1176" "Acyl-CoA synthetase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"851" "gene-VARPA_RS04360" 1121.92373731564 -2.30662762432021 0.466918005416394 -4.94011281972984 7.80773821800898e-07 0.000391948458544051 "NC_014931.1" "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF03401.13" "TctC" "-" "NULL" "NULL" "NULL" "NULL" "COG3181" "COG3181" "Uncharacterized protein conserved in bacteria" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"852" "gene-VARPA_RS04365" 1829.63334932292 -2.18658121544481 0.465228842095511 -4.70001216088814 2.601459986799e-06 0.000783559748023859 "NC_014931.1" "NULL" "NULL" "L-carnitine dehydratase/bile acid-inducible protein F" "NULL" "NULL" "NULL" "NULL" "PF02515.16" "CoA_transf_3" "-" "NULL" "NULL" "NULL" "NULL" "COG1804" "CaiB" "Predicted acyl-CoA transferases/carnitine dehydratase" "Energy production and conversion" "KOG3957" "KOG3957" "Predicted L-carnitine dehydratase/alpha-methylacyl-CoA racemase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"853" "gene-VARPA_RS04370" 1629.03456667923 -1.937206703816 0.478902005508033 -4.04510042041055 5.23007005250392e-05 0.00630118839925672 "NC_014931.1" "NULL" "NULL" "Enoyl-CoA hydratase/isomerase" "NULL" "NULL" "NULL" "NULL" "PF00378.19" "ECH_1" "-" "NULL" "NULL" "NULL" "NULL" "COG1024" "CaiD" "Enoyl-CoA hydratase/carnithine racemase" "Lipid metabolism" "KOG1680" "KOG1680" "Enoyl-CoA hydratase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"854" "gene-VARPA_RS04375" 2046.40523563198 -1.93489320381215 0.480331463896841 -4.02824580366799 5.61945749486203e-05 0.00663757097040173 "NC_014931.1" "NULL" "NULL" "acyl-CoA dehydrogenase domain-containing protein" "NULL" "NULL" "NULL" "NULL" "PF00441.23" "Acyl-CoA_dh_1" "-" "NULL" "NULL" "NULL" "NULL" "COG1960" "CaiA" "Acyl-CoA dehydrogenases" "Lipid metabolism" "KOG0139" "KOG0139" "Short-chain acyl-CoA dehydrogenase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"855" "gene-VARPA_RS04380" 2854.07801812473 -1.82802041804853 0.431065232919797 -4.24070483640385 2.22818987875443e-05 0.0036277340080045 "NC_014931.1" "NULL" "NULL" "acyl-CoA dehydrogenase domain-containing protein" "NULL" "NULL" "NULL" "NULL" "PF00441.23" "Acyl-CoA_dh_1" "-" "NULL" "NULL" "NULL" "NULL" "COG1960" "CaiA" "Acyl-CoA dehydrogenases" "Lipid metabolism" "KOG0140" "KOG0140" "Medium-chain acyl-CoA dehydrogenase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"856" "gene-VARPA_RS04385" 3099.63326367579 -1.67071433576089 0.404293484499734 -4.13242953402577 3.58948829225154e-05 0.0048051283272274 "NC_014931.1" "PaaJ" "K00626" "acetyl-CoA C-acetyltransferase" "M00088==M00095==M00373==M00374==M00375==M00849" "Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone==C5 isoprenoid biosynthesis, mevalonate pathway==Ethylmalonyl pathway==Dicarboxylate-hydroxybutyrate cycle==Hydroxypropionate-hydroxybutylate cycle==C5 isoprenoid biosynthesis, mevalonate pathway, archaea" "ko00071==ko00072==ko00280==ko00310==ko00362==ko00380==ko00620==ko00630==ko00640==ko00650==ko00720==ko00900==ko01100==ko01110==ko01120==ko01200==ko01212==ko02020" "Fatty acid degradation==Synthesis and degradation of ketone bodies==Valine, leucine and isoleucine degradation==Lysine degradation==Benzoate degradation==Tryptophan metabolism==Pyruvate metabolism==Glyoxylate and dicarboxylate metabolism==Propanoate metabolism==Butanoate metabolism==Carbon fixation pathways in prokaryotes==Terpenoid backbone biosynthesis==Metabolic pathways==Biosynthesis of secondary metabolites==Microbial metabolism in diverse environments==Carbon metabolism==Fatty acid metabolism==Two-component system" "PF02803.17" "Thiolase_C" "-" "NULL" "NULL" "NULL" "NULL" "COG0183" "PaaJ" "Acetyl-CoA acetyltransferase" "Lipid metabolism" "KOG1389" "KOG1389" "3-oxoacyl CoA thiolase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"857" "gene-VARPA_RS04390" 3778.60113936277 -1.8002807368589 0.433428205004352 -4.15358464463757 3.27307059874335e-05 0.0046403892042962 "NC_014931.1" "fadN" "K07516" "3-hydroxyacyl-CoA dehydrogenase" "M00087" "beta-Oxidation" "ko00071==ko00362==ko00650==ko01100==ko01120==ko01200==ko01212" "Fatty acid degradation==Benzoate degradation==Butanoate metabolism==Metabolic pathways==Microbial metabolism in diverse environments==Carbon metabolism==Fatty acid metabolism" "PF00725.21" "3HCDH" "-" "NULL" "NULL" "NULL" "NULL" "COG1250" "FadB" "3-hydroxyacyl-CoA dehydrogenase" "Lipid metabolism" "KOG1683" "KOG1683" "Hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"906" "gene-VARPA_RS04635" 2265.24464778806 0.429406910324172 0.117203077236495 3.66378529002021 0.000248515129316104 0.0205615317642054 "NC_014931.1" "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF03401.13" "TctC" "-" "NULL" "NULL" "NULL" "NULL" "COG3181" "COG3181" "Uncharacterized protein conserved in bacteria" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"907" "gene-VARPA_RS04640" 702.97979089627 0.50937597667442 0.144765563861544 3.51862668915927 0.000433786642339107 0.0290347859272309 "NC_014931.1" "catC" "K03464" "muconolactone D-isomerase" "M00568" "Catechol ortho-cleavage, catechol => 3-oxoadipate" "ko00362==ko01100==ko01120==ko01220" "Benzoate degradation==Metabolic pathways==Microbial metabolism in diverse environments==Degradation of aromatic compounds" "PF02426.15" "MIase" "-" "NULL" "NULL" "NULL" "NULL" "COG4829" "CatC1" "Muconolactone delta-isomerase" "Secondary metabolites biosynthesis, transport, and catabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"908" "gene-VARPA_RS04645" 865.61787319032 0.490441890338083 0.122947280827284 3.98904218977446 6.6340622860028e-05 0.00740066503905201 "NC_014931.1" "nicF" "K13995" "maleamate amidohydrolase" "M00622" "Nicotinate degradation, nicotinate => fumarate" "ko00760==ko01100==ko01120" "Nicotinate and nicotinamide metabolism==Metabolic pathways==Microbial metabolism in diverse environments" "PF00857.19" "Isochorismatase" "-" "NULL" "NULL" "NULL" "NULL" "COG1335" "PncA" "Amidases related to nicotinamidase" "Secondary metabolites biosynthesis, transport, and catabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
